baseline score=0.5236 avg_r1=0.1726 avg_r5=0.6255 avg_r10=0.7386
rank cls_weight score delta_score avg_r1 avg_r5 avg_r10 checkpoint
01 0.08 0.5265 +0.0030 0.1704 0.6307 0.7438 joint_clip_step_3726.pt
02 0.06 0.5254 +0.0019 0.1748 0.6272 0.7404 joint_clip_step_3726.pt
03 0.09 0.5248 +0.0012 0.1705 0.6286 0.7405 -
04 0.07 0.5243 +0.0007 0.1721 0.6258 0.7412 -
05 0.10 0.5243 +0.0007 0.1712 0.6272 0.7401 -
06 0.01 0.5240 +0.0004 0.1761 0.6232 0.7396 joint_clip_step_3726.pt
07 0.03 0.5236 -0.0000 0.1735 0.6254 0.7378 -
08 0.05 0.5234 -0.0002 0.1712 0.6254 0.7394 joint_clip_step_3726.pt
09 0.02 0.5226 -0.0010 0.1738 0.6225 0.7381 joint_clip_step_3726.pt
10 0.04 0.5221 -0.0014 0.1717 0.6232 0.7378 -
